Inception;8;Sci-Fi;Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy
The Dark Knight;9;Azione;Christian Bale,Heath Ledger,Aaron Eckhart,Maggie Gyllenhaal
Interstellar;10;Sci-Fi;Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine
Pulp Fiction;8;Crime;John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis
The Godfather;9;Crime;Marlon Brando,Al Pacino,James Caan,Robert Duvall
Fight Club;8;Dramma;Brad Pitt,Edward Norton,Helena Bonham Carter,Jared Leto
Forrest Gump;7;Dramma;Tom Hanks,Robin Wright,Gary Sinise,Sally Field
The Matrix;9;Sci-Fi;Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving
The Lord of the Rings: The Fellowship of the Ring;10;Fantasy;Elijah Wood,Ian McKellen,Orlando Bloom,Viggo Mortensen
Gladiator;8;Storico;Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed
