The Witcher;Much More;4
The Witcher;The End's Beginning;5
Game of Thrones;Fire and Blood;1
Dark;Everything Is Now;7
Dark;Crossroads;6
Better Call Saul;Five-O;3
Friends;The One Where Nana Dies Twice;3
Stranger Things;Chapter Four: The Body;1
How I Met Your Mother;Pilot;7
Breaking Bad;Crazy Handful of Nothin';7
Breaking Bad;Gray Matter;1
Game of Thrones;A Golden Crown;7
Breaking Bad;A No-Rough-Stuff-Type Deal;4
The Witcher;Of Banquets, Bastards and Burials;6
The Crown;Smoke and Mirrors;7
How I Met Your Mother;Slutty Pumpkin;1
Dark;As You Sow, so You Shall Reap;5
The Office;Health Care;4
Dark;Truths;5
Game of Thrones;You Win or You Die;4
Stranger Things;Chapter Eight: The Upside Down;3
Stranger Things;Chapter Two: The Weirdo on Maple Street;1
The Crown;Hyde Park Corner;3
Dark;Lies;2
Dark;Past and Present;2
The Witcher;Bottled Appetites;5
How I Met Your Mother;Sweet Taste of Liberty;1
Friends;The One with the Thumb;2
Game of Thrones;Lord Snow;7
Better Call Saul;Pimento;3
The Office;Hot Girl;1
Dark;Alpha and Omega;4
Better Call Saul;Bingo;7
The Office;Diversity Day;2
Game of Thrones;The Kingsroad;6
Game of Thrones;Baelor;7
How I Met Your Mother;The Duel;1
Friends;The One Where Monica Gets a Roommate;4
Better Call Saul;Mijo;3
Better Call Saul;RICO;1
Game of Thrones;Cripples, Bastards, and Broken Things;1
The Office;Pilot;7
Better Call Saul;Hero;3
How I Met Your Mother;Okay Awesome;7
The Office;Basketball;7
Friends;The One with the Blackout;6
The Witcher;Four Marks;7
Stranger Things;Chapter Seven: The Bathtub;3
Better Call Saul;Uno;5
How I Met Your Mother;Purple Giraffe;5
Stranger Things;Chapter Six: The Monster;3
Dark;Secrets;3
The Witcher;Before a Fall;6
Game of Thrones;Winter Is Coming;7
The Office;The Alliance;2
Better Call Saul;Alpine Shepherd Boy;4
Stranger Things;Chapter Three: Holly, Jolly;2
The Crown;Windsor;3
Friends;The One with the Sonogram at the End;5
Stranger Things;Chapter Five: The Flea and the Acrobat;6
The Crown;Wolferton Splash;5
Breaking Bad;Cat's in the Bag...;7
How I Met Your Mother;Return of the Shirt;5
Game of Thrones;The Pointy End;7
Friends;The One with the Butt;2
Dark;Sic Mundus Creatus Est;1
The Crown;Gelignite;2
Stranger Things;Chapter One: The Vanishing of Will Byers;6
The Witcher;Rare Species;4
Friends;The One with the East German Laundry Detergent;5
Breaking Bad;...And the Bag's in the River;7
Better Call Saul;Nacho;7
Breaking Bad;Pilot;7
Better Call Saul;Marco;1
Breaking Bad;Cancer Man;7
Game of Thrones;The Wolf and the Lion;7
The Witcher;Betrayer Moon;5
Friends;The One with George Stephanopoulos;4
The Crown;Act of God;6
Dark;Double Lives;4
How I Met Your Mother;Matchmaker;2
